Title,Title_URL,Image,ipclockupoverlay_URL,Title1,Title2,ipcratingstar,ipcratingstarrate,Content,scf24f1c5c0
39. Super Sharanya,https://www.imdb.com/title/tt12953548/?ref_=sr_t_39,"https://m.media-amazon.com/images/M/MV5BOTdkNjJjZTUtODNiYy00ZGU0LWJlNjEtOWIxMjRlZmViNzY0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR2,0,140,207_.jpg",https://www.imdb.com/title/tt12953548/?ref_=sr_i_39,2022,2h 41m,"6.4
 (1.9K)",Rate,"Sharanya, a shy and introverted person, is a native of Kollengode, Palakkad who moves to Thrissur to pursue engineering. She finds it difficult to cope with her new surroundings in college and her hostel.","Votes1,897"
40. 12th Man,https://www.imdb.com/title/tt14986012/?ref_=sr_t_40,"https://m.media-amazon.com/images/M/MV5BZjk5NjNlYTMtN2E1YS00MTk3LWI2NjgtOWU3NmI2ZDgxMTEwXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR18,0,140,207_.jpg",https://www.imdb.com/title/tt14986012/?ref_=sr_i_40,2022,2h 43m,"6.9
 (4.5K)",Rate,"Eleven friends get together for a bachelor party, but the celebrations go awry because of a phone call and a death. A drunk cop steps into unravel the mystery.","Votes4,502"
41. Red Rain,https://www.imdb.com/title/tt3806576/?ref_=sr_t_41,"https://m.media-amazon.com/images/M/MV5BZTk0YmY5MjMtY2U1OS00MjlmLTk0ODQtN2UyYTVlMWMyOTI1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt3806576/?ref_=sr_i_41,2013,1h 41m,"6.6
 (144)",Rate,Mysterious deaths of cattle and strange lights in the sky get a young scientist curious.,Votes144
42. RDX: Robert Dony Xavier,https://www.imdb.com/title/tt24517458/?ref_=sr_t_42,"https://m.media-amazon.com/images/M/MV5BYzcwZTZmOTUtMGE2Ny00ZWU3LWEwZjAtNzdjZWNlNGJmYWM1XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt24517458/?ref_=sr_i_42,2023,2h 31m,"7.1
 (4.7K)",Rate,The life of three mysterious individuals take a turn as their faces gets exposed.,"Votes4,682"
43. Kuruthi,https://www.imdb.com/title/tt13551614/?ref_=sr_t_43,"https://m.media-amazon.com/images/M/MV5BNDlmZmM5N2MtNGUyMC00YmU2LWFmYzMtYWVlZDlhMmEwMmU3XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR3,0,140,207_.jpg",https://www.imdb.com/title/tt13551614/?ref_=sr_i_43,2021,2h 2m,"7.5
 (6.3K)",Rate,Conflicts started to happen in Moosa Khader's home after the entry of a police officer and a murder convict.,"Votes6,325"
44. Jallikattu,https://www.imdb.com/title/tt8721556/?ref_=sr_t_44,"https://m.media-amazon.com/images/M/MV5BMGQ2ZWIzMjYtODlhZi00ZjA0LWFjMDEtMzNkMzBiOTRiYmY0XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt8721556/?ref_=sr_i_44,2019,1h 35m,"7.3
 (9K)",Rate,A portrait of a remote village where a buffalo escapes and causes a frenzy of ecstatic violence.,"Votes8,982"
45. Kooman,https://www.imdb.com/title/tt17632818/?ref_=sr_t_45,"https://m.media-amazon.com/images/M/MV5BNTVkYWFiY2YtMzBhZi00MmU3LTlmNGEtZjBlNGQxMzhiMjRmXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt17632818/?ref_=sr_i_45,2022,2h 33m,"7.3
 (3.2K)",Rate,The story is about a strict police officer who relocates to a hilly village on the Kerala-Tamil Nadu border. Few normal incidents that take place suddenly appear to be abnormal.,"Votes3,224"
46. Purusha Pretham,https://www.imdb.com/title/tt25153418/?ref_=sr_t_46,"https://m.media-amazon.com/images/M/MV5BODAxNDRiN2MtODdlYy00YzgyLWJmNWQtNTE2M2RkYjE4NTNkXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UX140_CR0,0,140,207_.jpg",https://www.imdb.com/title/tt25153418/?ref_=sr_i_46,2023,2h 33m,"7.2
 (1.3K)",Rate,"Purusha Pretham, Krishand's third feature, is a police procedural story that has never been seen before in Malayalam cinema; an investigative thriller with interesting twists and turns.","Votes1,252"
47. Lucifer,https://www.imdb.com/title/tt6067752/?ref_=sr_t_47,"https://m.media-amazon.com/images/M/MV5BZWQxOGRhMDYtMjdjZC00M2UwLTg4OGUtZjJiYWJlNjc1ZGViXkEyXkFqcGdeQXVyNTI0NzYwMTI@._V1_QL75_UY207_CR8,0,140,207_.jpg",https://www.imdb.com/title/tt6067752/?ref_=sr_i_47,2019,2h 55m,"7.5
 (12K)",Rate,"A political Godfather dies and a lot of thieves dressed up as politicians took over the rule. Question arises regarding the successor of the God, unfolding few names, along with the God's most beloved angel, Lucifer.","Votes12,386"
48. Minnal Murali,https://www.imdb.com/title/tt7268738/?ref_=sr_t_48,"https://m.media-amazon.com/images/M/MV5BNzllYTM0ZDgtZTk4NS00YjYzLTliNjktMjZmNTZmNGZlNzI4XkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_QL75_UY207_CR13,0,140,207_.jpg",https://www.imdb.com/title/tt7268738/?ref_=sr_i_48,2021,2h 38m,"7.8
 (32K)",Rate,"A tailor gains special powers after being struck by lightning, but must take down an unexpected foe if he is to become the superhero his hometown needs.","Votes32,288"
